"iso3","Country","Year","Value"
"AFG","Afghanistan",1,1027920060000
"ALB","Albania",1,1573811333333.33
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,2006633013333.33
"ARG","Argentina",1,27670468418458.7
"ARM","Armenia",1,116359150000
"ATG","Antigua and Barbuda",1,1035600000
"AUS","Australia",1,1382094844166.67
"AUT","Austria",1,9893500813640
"AZE","Azerbaijan",1,1242430483333.33
"BDI","Burundi",1,812707406666.667
"BEL","Belgium",1,6981513965013.33
"BEN","Benin",1,4897895216666.67
"BFA","Burkina Faso",1,5357085140000
"BGD","Bangladesh",1,12600045846666.7
"BGR","Bulgaria",1,5685020627840
"BHR","Bahrain",1,96747380000
"BHS","Bahamas",1,17339273333.3333
"BIH","Bosnia and Herzegovina",1,3900470150000
"BLR","Belarus",1,2132086420000
"BLZ","Belize",1,227419803333.333
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,3636221136666.67
"BRA","Brazil",1,177001021199195
"BRB","Barbados",1,114794046666.667
"BRN","Brunei Darussalam",1,122356290000
"BTN","Bhutan",1,309409976666.667
"BWA","Botswana",1,741799873333.333
"CAF","Central African Republic",1,314612796666.667
"CAN","Canada",1,48516043685665.3
"CHE","Switzerland",1,1171234826666.67
"CHL","Chile",1,9672457256666.67
"CHN","China (mainland)",1,944219406195789
"CIV","Cote dIvoire",1,3682788910000
"CMR","Cameroon",1,7869464543333.33
"COD","Democratic Republic of the Congo",1,7730292450000
"COG","Congo",1,86653866666.6667
"COK","Cook Islands",1,75910000
"COL","Colombia",1,21168412300000
"COM","Comoros",1,24379140000
"CPV","Cape Verde",1,122321276666.667
"CRI","Costa Rica",1,3019438480000
"CUB","Cuba",1,4553278160000
"CYP","Cyprus",1,794375856666.667
"CZE","Czech Republic",1,1833322678520
"DEU","Germany",1,23638884682000
"DJI","Djibouti",1,8454456666.66667
"DMA","Dominica",1,854016666.666667
"DNK","Denmark",1,525905795333.333
"DOM","Dominican Republic",1,4782005510000
"DZA","Algeria",1,14731884726666.7
"ECU","Ecuador",1,5554166520000
"EGY","Egypt",1,59362747150000
"ERI","Eritrea",1,71991613333.3333
"ESP","Spain",1,39985618313053.3
"EST","Estonia",1,49978620000
"ETH","Ethiopia",1,32555022672640
"FIN","Finland",1,439119590000
"FJI","Fiji",1,20013180000
"FRA","France",1,32316408708906.7
"FRO","Faroe Islands",1,97766666.6666667
"GAB","Gabon",1,182771773333.333
"GBR","United Kingdom",1,4161101726666.67
"GEO","Georgia",1,993619813333.333
"GHA","Ghana",1,6643129203333.33
"GIN","Guinea",1,2911692061666.67
"GMB","Gambia",1,108064933333.333
"GNB","Guinea-Bissau",1,22877170000
"GNQ","Equatorial Guinea",1,271643333.333333
"GRC","Greece",1,8615479429560
"GRD","Grenada",1,14610493333.3333
"GRL","Greenland",1,0
"GTM","Guatemala",1,10306522560000
"GUY","Guyana",1,135302236666.667
"HKG","Hong Kong SAR, China",1,355799149166.667
"HND","Honduras",1,4282563046666.67
"HRV","Croatia",1,6038200189173.33
"HTI","Haiti",1,990607976666.667
"HUN","Hungary",1,16193443040800
"IDN","Indonesia",1,91618388680000
"IND","India",1,92738590236626.7
"IRL","Ireland",1,4676527406666.67
"IRN","Iran (Islamic Republic of)",1,26973794030000
"IRQ","Iraq",1,1977590970000
"ISL","Iceland",1,67943750000
"ISR","Israel",1,5485916693333.33
"ITA","Italy",1,40144712290000
"JAM","Jamaica",1,1042937976666.67
"JOR","Jordan",1,3024017270000
"JPN","Japan",1,54048306970833.3
"KAZ","Kazakhstan",1,2640558010000
"KEN","Kenya",1,14647809576666.7
"KGZ","Kyrgyzstan",1,2313434773333.33
"KHM","Cambodia",1,2120238466666.67
"KIR","Kiribati",1,28783333.3333333
"KNA","Saint Kitts and Nevis",1,408230000
"KOR","Republic of Korea",1,33774803979166.7
"KWT","Kuwait",1,861418886666.667
"LAO","Lao People's Democratic Republic",1,5063160708333.33
"LBN","Lebanon",1,2911353796666.67
"LBR","Liberia",1,21879363333.3333
"LBY","Libya",1,2919814596666.67
"LCA","Saint Lucia",1,9741636666.66667
"LKA","Sri Lanka",1,1103510576666.67
"LSO","Lesotho",1,1032042426666.67
"LTU","Lithuania",1,397803531160
"LUX","Luxembourg",1,8828030440
"LVA","Latvia",1,101033930000
"MAC","Macao SAR, China",1,6282816666.66667
"MAR","Morocco",1,7997113293333.33
"MDA","Republic of Moldova",1,4132907246666.67
"MDG","Madagascar",1,1125283823333.33
"MDV","Maldives",1,3002313333.33333
"MEX","Mexico",1,152871825037340
"MKD","The former Yugoslav Republic of Macedonia",1,713453573333.333
"MLI","Mali",1,10294996376666.7
"MLT","Malta",1,140017323333.333
"MMR","Myanmar",1,6546133250000
"MNE","Montenegro",1,120804620000
"MNG","Mongolia",1,17065636666.6667
"MOZ","Mozambique",1,5051730063333.33
"MRT","Mauritania",1,51596980000
"MUS","Mauritius",1,383023970000
"MWI","Malawi",1,10215999083333.3
"MYS","Malaysia",1,13356956203333.3
"NAM","Namibia",1,842174166666.667
"NCL","New Caledonia",1,39675166666.6667
"NER","Niger",1,347031356666.667
"NGA","Nigeria",1,40145976923333.3
"NIC","Nicaragua",1,2467360773333.33
"NLD","Netherlands",1,17715512659413.3
"NOR","Norway",1,283029550000
"NPL","Nepal",1,9089041787500
"NZL","New Zealand",1,1054969173333.33
"OMN","Oman",1,874034093333.333
"PAK","Pakistan",1,20444921500000
"PAN","Panama",1,1965231273333.33
"PER","Peru",1,15991757886666.7
"PHL","Philippines",1,29170540910000
"PNG","Papua New Guinea",1,194693236666.667
"POL","Poland",1,12454700687706.7
"PRK","Democratic People's Republic of Korea",1,7973971545833.33
"PRT","Portugal",1,8918396562546.67
"PRY","Paraguay",1,9490496583333.33
"PSE","Occupied Palestinian Territory",1,9022890000
"PYF","French Polynesia",1,10331070000
"QAT","Qatar",1,112808470000
"ROU","Romania",1,36202347355213.3
"RUS","Russian Federation",1,32560492606666.7
"RWA","Rwanda",1,1468295613333.33
"SAU","Saudi Arabia",1,12578499776666.7
"SDN","Sudan",1,190932206666.667
"SEN","Senegal",1,1998996870000
"SGP","Singapore",1,269862670000
"SLB","Solomon Islands",1,887586666.666667
"SLE","Sierra Leone",1,70747160000
"SLV","El Salvador",1,5120958280000
"SOM","Somalia",1,424334927333.333
"SRB","Serbia",1,13044525620000
"SSD","South Sudan",1,981180675333.333
"STP","Sao Tome and Principe",1,5303933333.33333
"SUR","Suriname",1,32938040000
"SVK","Slovakia",1,3185698906706.67
"SVN","Slovenia",1,664908414666.667
"SWE","Sweden",1,146925063333.333
"SWZ","Swaziland",1,656132903333.333
"SYC","Seychelles",1,6367096666.66667
"SYR","Syrian Arab Republic",1,1319590123333.33
"TCD","Chad",1,1411907453333.33
"TGO","Togo",1,2940288796666.67
"THA","Thailand",1,15397381962500
"TJK","Tajikistan",1,746922850000
"TKM","Turkmenistan",1,186163640000
"TLS","Timor-Leste",1,376767986666.667
"TON","Tonga",1,72263333.3333333
"TTO","Trinidad and Tobago",1,364144513333.333
"TUN","Tunisia",1,4056062486666.67
"TUR","Turkey",1,28577860576666.7
"TUV","Tuvalu",1,2420000
"TWN","Taiwan",1,15629452666666.7
"TZA","United Republic of Tanzania",1,22304351043333.3
"UGA","Uganda",1,8128551033333.33
"UKR","Ukraine",1,20422959877125.3
"URY","Uruguay",1,2472015273333.33
"USA","United States of America",1,1174988218297560
"UZB","Uzbekistan",1,1775732223333.33
"VCT","Saint Vincent and the Grenadines",1,26116373333.3333
"VEN","Venezuela (Bolivarian Republic of)",1,11130173236666.7
"VNM","Viet Nam",1,46392282983333.3
"VUT","Vanuatu",1,3294783333.33333
"YEM","Yemen",1,2258409971242.67
"ZAF","South Africa",1,46345959631461.3
"ZMB","Zambia",1,10819351166666.7
"ZWE","Zimbabwe",1,4230892653333.33
