"iso3","Country","Year","Value"
"AFG","Afghanistan",1,77065010000
"ALB","Albania",1,220094040000
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,2404070533333.33
"ARG","Argentina",1,175401776666.667
"ARM","Armenia",1,53293640000
"ATG","Antigua and Barbuda",1,765040000
"AUS","Australia",1,68059147500
"AUT","Austria",1,3969802200000
"AZE","Azerbaijan",1,447805723333.333
"BDI","Burundi",1,61844216666.6667
"BEL","Belgium",1,6247481630000
"BEN","Benin",1,12448446666.6667
"BFA","Burkina Faso",1,54530453333.3333
"BGD","Bangladesh",1,3412601306666.67
"BGR","Bulgaria",1,443950683333.333
"BHR","Bahrain",1,96789843333.3333
"BHS","Bahamas",1,15147500000
"BIH","Bosnia and Herzegovina",1,872051016666.667
"BLR","Belarus",1,165961536666.667
"BLZ","Belize",1,6088056666.66667
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,219404803333.333
"BRA","Brazil",1,5581814436666.67
"BRB","Barbados",1,117204690000
"BRN","Brunei Darussalam",1,122924716666.667
"BTN","Bhutan",1,1112790000
"BWA","Botswana",1,737043390000
"CAF","Central African Republic",1,2744930000
"CAN","Canada",1,4103100970833.33
"CHE","Switzerland",1,674035990000
"CHL","Chile",1,5193941096666.67
"CHN","China (mainland)",1,12177116573333.3
"CIV","Cote dIvoire",1,107598310000
"CMR","Cameroon",1,187869193333.333
"COD","Democratic Republic of the Congo",1,234803823333.333
"COG","Congo",1,43125746666.6667
"COK","Cook Islands",1,75910000
"COL","Colombia",1,16358765820000
"COM","Comoros",1,1198793333.33333
"CPV","Cape Verde",1,105336750000
"CRI","Costa Rica",1,2996648430000
"CUB","Cuba",1,3198866666666.67
"CYP","Cyprus",1,795212750000
"CZE","Czech Republic",1,505042143333.333
"DEU","Germany",1,9690087713333.33
"DJI","Djibouti",1,8386816666.66667
"DMA","Dominica",1,537670000
"DNK","Denmark",1,612943093333.333
"DOM","Dominican Republic",1,4639927096666.67
"DZA","Algeria",1,14721068260000
"ECU","Ecuador",1,332539503333.333
"EGY","Egypt",1,30816669936666.7
